"Date","Latitude","Longitude","Site","Temp","rh","CH4_flux","Chla.x","pH","CI","Chla.y","PAR","Kd490","rtoa1","rtoa2","rtoa3","rtoa4","rtoa5","rtoa6","rtoa7","rtoa8","rtoa9","rtoa10","rtoa11","rtoa12","ADG443","TSM","pr","pr3","pr5","pr7","tmmx","vs","Lake","water_temp_K","sim_water"
2024-05-04,43.2237,-86.2882,"Muskegon - Channel",14.7,NA,0.397997671,0.7,8.5,0,0.988188975,1757.431152,0,0.162251689368,0.149431140886,0.121214337647,0.0923178957568,0.0828412779503,0.0671086671452,0.0540695269075,0.049060386916,0.0484771273202,0.0480792253382,0.0463463117679,0.0462240928577,0.321850379,0.52750928,7.50045902198202,16.7403977849416,NA,NA,298.007955748157,4.09999990463257,"Muskegon",290.16881,290.16881
2024-05-04,43.2237,-86.2882,"Muskegon - Channel",14.7,NA,-0.586272159,0.7,8.5,0,0.988188975,1757.431152,0,0.162251689368,0.149431140886,0.121214337647,0.0923178957568,0.0828412779503,0.0671086671452,0.0540695269075,0.049060386916,0.0484771273202,0.0480792253382,0.0463463117679,0.0462240928577,0.321850379,0.52750928,7.50045902198202,16.7403977849416,NA,NA,298.007955748157,4.09999990463257,"Muskegon",290.16881,290.16881
2024-05-04,43.2237,-86.2882,"Muskegon - Channel",14.7,NA,0.965204014,0.7,8.5,0,0.988188975,1757.431152,0,0.162251689368,0.149431140886,0.121214337647,0.0923178957568,0.0828412779503,0.0671086671452,0.0540695269075,0.049060386916,0.0484771273202,0.0480792253382,0.0463463117679,0.0462240928577,0.321850379,0.52750928,7.50045902198202,16.7403977849416,NA,NA,298.007955748157,4.09999990463257,"Muskegon",290.16881,290.16881
2024-05-04,43.235767,-86.26263,"Muskegon - Deep",15.1,NA,2.625131943,0.97,8.4,0,0.600674891,1771.653582,-0.582677156,0.170097433031,0.158081804713,0.132105872035,0.105403121561,0.0969021407266,0.0829821762939,0.0709359484414,0.0672005837162,0.066770007213,0.0664397409807,0.0677278464039,0.075308288758,1.018560163,0.401975018,7.12006125406321,15.3214394965909,NA,NA,298.042803941058,4.1144715600503,"Muskegon",290.16881,290.16881
2024-05-04,43.235767,-86.26263,"Muskegon - Deep",15.1,NA,2.133822835,0.97,8.4,0,0.600674891,1771.653582,-0.582677156,0.170097433031,0.158081804713,0.132105872035,0.105403121561,0.0969021407266,0.0829821762939,0.0709359484414,0.0672005837162,0.066770007213,0.0664397409807,0.0677278464039,0.075308288758,1.018560163,0.401975018,7.12006125406321,15.3214394965909,NA,NA,298.042803941058,4.1144715600503,"Muskegon",290.16881,290.16881
2024-05-04,43.235767,-86.26263,"Muskegon - Deep",15.1,NA,2.104922299,0.97,8.4,0,0.600674891,1771.653582,-0.582677156,0.170097433031,0.158081804713,0.132105872035,0.105403121561,0.0969021407266,0.0829821762939,0.0709359484414,0.0672005837162,0.066770007213,0.0664397409807,0.0677278464039,0.075308288758,1.018560163,0.401975018,7.12006125406321,15.3214394965909,NA,NA,298.042803941058,4.1144715600503,"Muskegon",290.16881,290.16881
2024-05-23,42.7756682,-86.193683,"Macatawa - Channel",19.8,NA,80.87299706,2.5,8.36,0,0.3011811005,939.788414,-0.3208661375,0.0922028314735,0.088052828279,0.079865299993,0.0730517746675,0.0713028179275,0.068650872343,0.064029722164,0.0627007757625,0.062647957355,0.0630160301095,0.063369545258,0.0607460654445,0.0957184985,0.517411504,0,0,10.3176421715041,10.3176421715041,296.163560699792,3.24776579565921,"Macatawa",297.1518,297.1518
2024-05-23,42.7756682,-86.193683,"Macatawa - Channel",19.8,NA,81.38163226,2.5,8.36,0,0.3011811005,939.788414,-0.3208661375,0.0922028314735,0.088052828279,0.079865299993,0.0730517746675,0.0713028179275,0.068650872343,0.064029722164,0.0627007757625,0.062647957355,0.0630160301095,0.063369545258,0.0607460654445,0.0957184985,0.517411504,0,0,10.3176421715041,10.3176421715041,296.163560699792,3.24776579565921,"Macatawa",297.1518,297.1518
2024-05-23,42.7756682,-86.193683,"Macatawa - Channel",19.8,NA,80.36436186,2.5,8.36,0,0.3011811005,939.788414,-0.3208661375,0.0922028314735,0.088052828279,0.079865299993,0.0730517746675,0.0713028179275,0.068650872343,0.064029722164,0.0627007757625,0.062647957355,0.0630160301095,0.063369545258,0.0607460654445,0.0957184985,0.517411504,0,0,10.3176421715041,10.3176421715041,296.163560699792,3.24776579565921,"Macatawa",297.1518,297.1518
2024-05-23,42.7773103,-86.1786279,"Macatawa - Deep",19.9,NA,79.71194375,3.5,8.41,0,0.3534558075,957.217855,-0.311023623,0.088498952985,0.0841409802435,0.075159849599,0.067564825341,0.0656232893465,0.0630898721515,0.0581700053065,0.0563671741635,0.05610210225,0.0564644150435,0.05945655033,0.0644705485555,0.18963254,0.5722698245,0,0,10.8446150141496,10.8446150141496,296.440228999211,3.23146155614119,"Macatawa",297.1518,297.1518
